Date,Open,High,Low,Close,Adj Close,Volume,SMA(Open) 10D,SMA(High) 10D,SMA(Low) 10D,SMA(Close) 10D,SMA(Adj Close) 10D,SMA(Volume) 10D
2020-07-06,1805.000000,1858.000000,1792.099976,1851.800049,1845.862061,21697962,,,,,,
2020-07-07,1860.000000,1864.349976,1806.300049,1823.449951,1817.602905,16239990,,,,,,
2020-07-08,1824.050049,1834.949951,1790.000000,1798.000000,1792.234497,12093186,,,,,,
2020-07-09,1809.000000,1835.000000,1786.250000,1824.250000,1818.400391,16807336,,,,,,
2020-07-10,1828.500000,1884.599976,1824.250000,1878.050049,1872.027832,20195218,,,,,,
2020-07-13,1903.349976,1947.699951,1900.000000,1935.000000,1928.795166,32124262,,,,,,
2020-07-14,1934.000000,1941.699951,1887.300049,1917.000000,1910.852905,31073305,,,,,,
2020-07-15,1937.949951,1978.800049,1798.000000,1844.000000,1838.087036,64457578,,,,,,
2020-07-16,1847.000000,1869.000000,1812.449951,1843.400024,1837.489014,28133826,,,,,,
2020-07-17,1845.000000,1920.000000,1838.000000,1911.699951,1905.569824,22948894,1859.3849976,1893.4099854,1823.4650025,1862.6650024,1856.6921631,26577155.7000000
2020-07-20,1917.800049,1932.000000,1899.650024,1919.900024,1913.743652,16887635,1870.6650025,1900.8099854,1834.2200073,1869.4749999,1863.4803222,26096123.0000000
2020-07-21,1939.000000,1977.000000,1936.500000,1971.550049,1965.228027,19463004,1878.5650025,1912.0749878,1847.2400024,1884.2850097,1878.2428344,26418424.4000000
2020-07-22,1983.000000,2010.000000,1960.699951,2004.000000,1997.573975,27584518,1894.4599976,1929.5799927,1864.3099975,1904.8850097,1898.7767822,27967557.6000000
2020-07-23,2003.949951,2079.699951,1991.349976,2057.800049,2051.201416,26921017,1913.9549927,1954.0499878,1884.8199951,1928.2400146,1922.0568847,28978925.7000000
2020-07-24,2058.000000,2163.000000,2057.800049,2146.149902,2139.268066,55655668,1936.9049927,1981.8899902,1908.1750000,1955.0499999,1948.7809081,32524970.7000000
2020-07-27,2178.800049,2198.800049,2127.899902,2156.199951,2149.285889,37060665,1964.4500000,2007.0000000,1930.9649902,1977.1699950,1970.8299804,33018611.0000000
2020-07-28,2156.199951,2194.000000,2150.649902,2177.699951,2170.716797,25435297,1986.6699951,2032.2300049,1957.2999755,2003.2399901,1996.8163696,32454810.2000000
2020-07-29,2177.899902,2182.800049,2070.449951,2096.649902,2089.926758,33534147,2010.6649902,2052.6300049,1984.5449706,2028.5049803,2022.0003418,29362467.1000000
2020-07-30,2099.000000,2139.699951,2072.000000,2108.850098,2102.087891,33623699,2035.8649902,2079.7000000,2010.4999755,2055.0499877,2048.4602295,29911454.4000000
2020-07-31,2114.500000,2129.000000,2052.800049,2067.100098,2060.471680,34593133,2062.8149902,2100.6000000,2031.9799804,2070.5900024,2063.9504151,31075878.3000000
2020-08-03,2051.300049,2057.000000,2003.099976,2009.000000,2002.557861,21559142,2076.1649902,2113.1000000,2042.3249756,2079.5000000,2072.8318360,31543029.0000000
2020-08-04,2020.599976,2167.000000,2000.250000,2150.600098,2143.703857,42476932,2084.3249878,2132.1000000,2048.6999756,2097.4050049,2090.6794190,33844421.8000000
